id,created_at,restaurant_name,address,latitude,longitude,rating,review,date_visited,user_display_name,upvotes_count,downvotes_count,user_id
130,2024-07-11 00:47:50.393542+00,ibar,"2118 Maryland Avenue, Baltimore, MD 21218",39.3138089,-76.6183418,7.0,7/10,2020-12-11,,,0,
131,2024-07-11 00:47:50.393542+00,kislings,"2100 Fleet St, Baltimore, MD 21231",39.2850376,-76.5868467,7.5,7.5 really big,2020-12-18,,0,0,
132,2024-07-11 00:47:50.393542+00,The Hideaway,"1439 Odenton Road Odenton, MD 21113",39.0875614,-76.7117403,8.9,"For ""sauce"" options they offer Naked, Old Bay, Buffalo, Blackberry Chipotle and their famous dry hot rub. I opted for the hot rub as there is no mild. The wings are perfectly crispy with a nice spicy dry rub that has a lasting heat. The hot is a type of heat that doesn't diminish the flavor. Wings are smoked then flash fried. Amazing wings rivaling parish pub house. Hard to compare as these are dry rub and don't have the same texture as parish. Meat falls right off the bone FYI. ",2021-02-19,,0,0,
133,2024-07-11 00:47:50.393542+00,vocellis,"730 Cloverly St, Silver Spring, MD 20905",39.1096078,-76.9956157,4.5,"soggy, small and shriveled ",2021-05-15,,0,0,
134,2024-07-11 00:47:50.393542+00,Beckys,"390 Commercial St, Portland, ME 04101",43.6501927,-70.2558869,7.1,"They are garlic ranch wings, really good honestly 7.1/10",2021-05-22,,0,0,
135,2024-07-11 00:47:50.393542+00,Cantina Mamma Lucia,"1350 Dorsey Rd unit m, Hanover, MD 21076",39.159442,-76.7110363,3.0,"not bad wings, not much flavor, lacking meat. more skin than meat. Kinda bland but good texture",2021-05-25,,0,0,
136,2024-07-11 00:47:50.393542+00,Glory Days,"7939 Ritchie Hwy, Glen Burnie, MD",39.1370533,-76.5985021,6.4,"way too thin of sauce but it is a decent wing, it's dry but not awful. 6.4/10",2021-05-27,,0,0,
137,2024-07-11 00:47:50.393542+00,"Lazy Dog ","11963 Fair Oaks Mall Shop Center, Fairfax, VA 22033",38.8630215,-77.3617601,7.2,7.2,2021-06-26,,0,0,
138,2024-07-11 00:47:50.393542+00,BlueJacket,"300 Tingey St SE #160, Washington, DC 20003",38.8750832,-77.0010415,8.9,8.9,2021-09-03,,0,0,
139,2024-07-11 00:47:50.393542+00,Guinness Brewery,"5001 Washington Blvd, Halethorpe, MD 21227",39.2222825,-76.6984733,6.7,the Old Bay wings are breaded the Korean ones are not. very crunchy. not much old Bay flavor. unique. very tiny wings. 12 in an order. 6.7,2021-09-05,,0,0,
140,2024-07-11 00:47:50.393542+00,Two Rivers Steak & Fish House,"4105 Mountain Rd, Pasadena, MD 21122",39.1217306,-76.5190335,7.8,"7.8, sauce is fantastic but not spicy. ",2021-11-26,,0,0,
141,2024-07-11 00:47:50.393542+00,Oscars Alehouse East,"8026 Ritchie Hwy Ste B, Pasadena, MD 21122",39.1279825,-76.5943492,7.4,7.4 Very little flavor(no spice) big wing and good blue cheese. maybe ask for extra sauce. They have a blackened pepper taste,2022-01-24,,0,0,
142,2024-07-11 00:47:50.393542+00,Mi Pueblo,"7556 Ritchie Hwy, Glen Burnie, MD 21061",39.1594841,-76.6211216,6.7,"6.7 Skin killed it, wing would have been better if it was crispier. the sauce is definitely not homemade I've had this before. ",2022-02-04,,0,0,
143,2024-07-11 00:47:50.393542+00,Frisco Taphouse - Columbia,"8895 McGaw Rd Suite 1, Columbia, MD 21045",39.1874233,-76.820707,8.2,"Elote Wings - Dry Rub, Chipotle Aioli
Frisco Fire Grilled Wings - Grilled with ancho chili glaze served with tequila lime bleu cheese

ii tried both. this rating was for the elote..

8.2 really unique flavor. 
fire grilled - 7.2

the other one reminded me of hot bbq ",2022-02-11,,0,0,
144,2024-07-11 00:47:50.393542+00,mutiny pirate bar,"7190 Troy Hill Dr, Elkridge, MD 21075",39.1943827,-76.7498389,6.6,6.6,2022-02-26,,0,0,
145,2024-07-11 00:47:50.393542+00,Neo pizza + taphouse,"8872 McGaw Rd Suite A, Columbia, MD 21045",39.1883803,-76.8188934,6.3,"Wings drenched in sauce, skin is okay, sauce is goodish. bleu cheese is straight hidden valley trash. they gave some tiny wings.... Id 6.3. too much sauce, tiny poorly cut wings",2022-03-13,,0,0,
146,2024-07-11 00:47:50.393542+00,Homeslyce," 9400 Snowden River Pkwy, Columbia, MD",39.1767209,-76.8372743,4.3,"These might be the smallest wings ive ever seen. the flavor is okay, but i would never order these again, under any circumstances.... 4.3",2022-03-18,,0,0,
147,2024-07-11 00:47:50.393542+00,Primo,"7690 Dorchester Blvd #104, Hanover, MD 21076",39.1548651,-76.7418673,6.2,"6.2 about as average as can be. nothing special. wouldn't go out of your way. Asked for them extra crispy... so i have to drop it. the sauce is really poor, its more oily than flavored ",2022-03-22,,0,0,
148,2024-07-11 00:47:50.393542+00,Clydes - Georgetown D.C,"3236 M St NW, Washington, DC 20007",38.9049956,-77.0640691,5.4,"Small, sauce lacks any flavor, no crisp. 5.4",2022-04-08,,0,0,
149,2024-07-11 00:47:50.393542+00,Longboards Ocean City MD,"6701 Coastal Hwy, Ocean City, MD 21842",38.389828,-75.0661339,8.4,"got the longboard, which are 5 times ocean city best... they are amazing. they have a bunch of other unique flavors but you need to try longboard. 8.4",2022-04-29,,0,0,
150,2024-07-11 00:47:50.393542+00,Pit & Pub Ocean City MD,"2706 Philadelphia Ave, Ocean City, MD 21842",38.3566196,-75.074872,7.6,"At the recommendation of the waitress, got the honey old bay. 7.6 , they were fried too hard after being smoked which made them slightly dry. The honey old bay has no flavor but overall, if you put good sauce on the wing it will be great",2022-04-30,,0,0,
151,2024-07-11 00:47:50.393542+00,"Prino Mediterranean Restaurant ","7690 Dorchester Blvd #104, Hanover, MD 21076",39.1548651,-76.7418673,4.6,"They are breaded and lack flavor. If you like slightly better dominos wings, this is your place",2022-05-13,,0,0,
152,2024-07-11 00:47:50.393542+00,Hill Country BBQ - DC,"410 7th St NW, Washington, DC 20004",38.8951909,-77.0222336,5.4,"Made with a chili rub, very sweet but little kick. Very dry like they were premade. Needed bbq sauce. Wouldn't recommend",2022-06-04,,0,0,
153,2024-07-11 00:47:50.393542+00,Notch 8,"10150 Junction Dr, Annapolis Junction, MD 20701",39.1246962,-76.7938295,8.3,,2022-06-25,,0,0,
154,2024-07-11 00:47:50.393542+00,Denizens,"4550 Van Buren St, Riverdale Park, MD 20737",38.9792357,-77.0640659,8.7,"Smoky, perfect in almost every way. slightly dry on some but the flavor of smokiness is amazing... bleu cheese tastes familiar but still great. fix the dryness and it's a 9",2022-07-01,,0,0,
